Utility Name,Fire Start Date,Fire Start Time,Latitude,Longitude,Material at Origin,Land Use at Origin,Size,Suppressed by,Suppressing Agency,Facility Identification,Other Companies,Voltage (Volts),Equipment Involved With Ignition,Type,Was There an Outage,Outage Date,Outage Time,Suspected Initiating Event,Equipment /Facility Failure,Contact From Object,Facility Contacted,Contributing Factor,Notes
SDG&E,7/22/2014,10:25,32.7899000,116.8455000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Cal Fire,P276288,AT&T,12kV,Conductor,Overhead,No,,,Contact From Object,,Vehicle,Electric Facility,Outside Force,
SDG&E,8/28/2014,9:30,33.0191000,-116.8281000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,Z416585,,12kV,Conductor,Overhead,No,,,Contact From Object,,Other,Electric Facility,Human Error,
SDG&E,9/2/2014,11:15,33.1527200,-117.1607800,Vegetation,Rural,Less Than .25 Acres,Fire Agency,San Marcos,P219744,none,12kV,Fuse,Overhead,Yes,9/2/2014,11:15,Contact From Object,,Balloons,Pole,Outside Force,
SDG&E,9/11/2014,11:56,33.2769000,-117.1345000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,P619040,none,12kV,Transformer,Overhead,yes,9/11/2014,11:56,Equipment/Facility Failure,Transformer,,,None,
SDG&E,9/13/2014,20:30,32.7211000,-116.7801000,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Cal Fire,"Cir 157, P106190",,12kV,Conductor,Overhead,Yes,9/13/2014,20:00,Unknown,,,,Unknown,
SDG&E,9/15/2014,12:53,32.7360000,-117.0137000,Vegetation,Urban,Less Than .25 Acres,Fire Agency,San Miguel FD,"Cir 162, P161277",,240V,Conductor,Overhead,Yes,9/15/2014,12:53,Contact From Object,,Vegetation,Electric Facility,Other,
SDG&E,9/24/2014,19:45,33.0513000,-116.8479000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,Cir. RA1 P169791,,4kV,Conductor,Overhead,Yes,9/24/2012,19:45,Contact From Object,,Animal,Electric Facility,Outside Force,
SDG&E,10/7/2014,13:38,33.0389800,-117.1705000,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CALFIRE,Z519759,,240kV,Conductor,Overhead,Yes,10/7/2014,13:42,Contact From Object,,Other,Electric Facility,Outside Force,
SDG&E,10/11/2014,4:00,32.9460000,-116.8466000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,P972639,,12kV,Conductor,Overhead,Yes,10/11/2014,4:00,Contact From Object,,Other,Electric Facility,Outside Force,
SDG&E,11/19/2014,9:30,32.8421000,-116.8805000,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CALFIRE,Cir. 246 P272232,none,12kV,Conductor,Overhead,Yes,11/19/2014,18:00,Contact From Object,,Other,Pole,Outside Force,
SDG&E,2/7/2015,13:36,32.9021000,-117.0137000,Vegetation,Rural,Less Than .25 Acres,Utility,,TL23041,none,230Kv,Conductor,Overhead,Yes,2/7/2015,13:36,Contact From Object,,Animal,Electric Facility,Unknown,
SDG&E,2/11/2015,15:30,32.8941000,-116.9393000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Lakeside Fire,Service span off 237657,,12kV,Conductor,Overhead,,,,Contact From Object,,Vegetation,Electric Facility,Weather,
SDG&E,3/19/2015,23:50,33.0323780,-117.0159000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,S.D. City,P719156,,12kV,Conductor,Overhead,Yes,3/19/2015,23:50,Contact From Object,,Vehicle,Pole,Human Error,
SDG&E,4/9/2015,17:23,32.7233000,-116.8922000,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CAL FIRE,P171928,,12kV,Other,Overhead,No,,,Unknown,,,,,
SDG&E,4/12/2015,12:31,33.0117000,-116.8660000,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CAL FIRE,P214319,,12kV,Conductor,Overhead,Yes,4/12/2015,12:30,Contact From Object,,Other,Electric Facility,,
SDG&E,4/12/2015,14:30,32.7523000,-117.3257000,Vegetation,Rural,100 - 299 Acres,Fire Agency,Pendleton,P164638,,12kV,Lightning Arrestor,Overhead,No,,,,,,,,
SDG&E,4/13/2015,10:50,32.5859000,-117.0017000,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Chula Vista,P81123,,12kV,Conductor,Overhead,Yes,4/13/2015,10:50,Contact From Object,,Vehicle,Electric Facility,Human Error,
SDG&E,4/18/2015,12:00,32.7764000,-116.9309000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P677849,,220v,Conductor,Overhead,No,,,Contact From Object,,Vegetation,Electric Facility,None,
SDG&E,4/28/2015,13:30,32.8917000,-116.8419000,Vegetation,Rural,Less Than .25 Acres,Customer,,P176657,none,12kV,Conductor,Overhead,Yes,4/28/2015,13:30,Contact From Object,,Vehicle,Electric Facility,Human Error,
SDG&E,4/29/2015,12:00,32.6061000,-116.6960400,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P175961,none,12kV,Conductor,Overhead,Yes,4/29/2015,12:00,Equipment/Facility Failure,Splice/Clamp/Connector,,,Unknown,
SDG&E,5/17/2015,6:55,33.1808000,-117.2064000,Vegetation,Rural,Less Than .25 Acres,Self Extinguished,,P15839,,12kV,Conductor,Overhead,Yes,5/17/2015,7:06,Contact From Object,,Other,Electric Facility,,
SDG&E,5/28/2015,12:45,32.7265000,-116.9922000,Vegetation,Rural,Less Than .25 Acres,Self Extinguished,,P196508,,12kV,Conductor,Overhead,Yes,5/28/2015,12:45,Contact From Object,,Balloons,Electric Facility,None,
SDG&E,6/9/2015,5:50,32.9003000,-117.2309000,Vegetation,Urban,Less Than .25 Acres,Fire Agency,S.D. City,Z63404,,69kV,Conductor,Overhead,Yes,6/9/2015,5:45,Contact From Object,,Animal,Electric Facility,Outside Force,
SDG&E,7/7/2015,15:00,32.7443000,-117.0498000,Vegetation,Urban,Less Than .25 Acres,Utility,,Z371043 Cir. 160,,12kV,Conductor,Overhead,Yes,7/7/2015,13:00,Contact From Object,,Other,Electric Facility,Human Error,
SDG&E,7/13/2015,23:45,32.7629700,-116.8994900,Vegetation,Rural,Less Than .25 Acres,Self Extinguished,,Z971870 Cir 23041,,230kV,Conductor,Overhead,No,,,Contact From Object,,Balloons,Electric Facility,Outside Force,
SDG&E,7/17/2015,9:48,33.1750420,-117.0125000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P213348,,12kV,Conductor,Overhead,No,,,Contact From Object,,Vegetation,Communication Facility,Human Error,
SDG&E,7/27/2015,14:30,33.0665000,-116.5790000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P212006,,12kV,Conductor,Overhead,Yes,7/27/2015,14:30,Contact From Object,,Vegetation,Electric Facility,None,
SDG&E,8/8/2015,10:00,33.1973000,-117.2308000,Vegetation,Urban,Less Than .25 Acres,Customer,,P17530J,,4kV,Conductor,Overhead,Yes,8/8/2015,10:00,Contact From Object,,Balloons,Electric Facility,None,
SDG&E,8/13/2015,20:33,33.2457100,-116.6769000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P19586,,12Kv,Conductor,Overhead,Yes,8/13/2015,20:33,Unknown,,,,Unknown,
SDG&E,8/15/2015,17:30,32.7417200,-116.9685000,Other,Urban,Less Than .25 Acres,Customer,,P273868,,4Kv,Other,Overhead,No,,,Equipment/Facility Failure,Splice/Clamp/Connector,,,None,
SDG&E,8/23/2015,15:00,32.2729100,-117.1521000,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CAL FIRE,P415300,,12kV,Conductor,Overhead,Yes,8/23/2015,15:00,Contact From Object,,Vegetation,Electric Facility,Weather,
SDG&E,9/1/2015,8:50,32.6690000,-116.2860000,Vegetation,Rural,Less Than .25 Acres,Utility,,P41145 cir. 445,,12kV,Conductor,Overhead,Yes,9/1/2015,8:50,Equipment/Facility Failure,Conductor,,,None,
SDG&E,9/1/2015,18:01,32.7595000,-117.0671000,Vegetation,Urban,Less Than .25 Acres,Self Extinguished,,P270259 cir. RD4,,4kV,Conductor,Overhead,No,,,Contact From Object,,Vehicle,Electric Facility,Human Error,
SDG&E,9/2/2015,18:18,33.1867000,-117.2020000,Vegetation,Urban,Less Than .25 Acres,Self Extinguished,,P111781 cir. 859,,12kV,Conductor,Overhead,Yes,9/1/2015,18:11,Contact From Object,,Vehicle,Electric Facility,Human Error,
SDG&E,9/8/2015,11:45,33.0726000,-116.7435500,Vegetation,Rural,Less Than .25 Acres,Utility,,P416995 cir 222,none,12Kv,Switch,Overhead,Yes,9/8/2015,11:45,Equipment/Facility Failure,Switch,,,None,
SDG&E,9/9/2015,20:40,32.6439600,-117.0720000,Vegetation,Urban,Less Than .25 Acres,Utility,,P89691 - cir 255,none,12Kv,Conductor,Overhead,Yes,9/9/2015,20:40,Equipment/Facility Failure,Conductor,,,Unknown,
SDG&E,9/17/2015,8:09,32.6791420,-117.1044410,Vegetation,Urban,Less Than .25 Acres,Fire Agency,National City,P835456,none,12kV,Conductor,Overhead,Yes,9/17/2015,19:55,Equipment/Facility Failure,Transformer,,,None,
SDG&E,10/2/2015,14:30,33.1354000,-117.0588400,Vegetation,Urban,Less Than .25 Acres,Customer,,P510149,,12kV,Conductor,Overhead,Yes,10/2/2015,14:30,Equipment/Facility Failure,Splice/Clamp/Connector,,,Unknown,
SDG&E,10/8/2015,13:47,32.5818000,-116.9449000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,Z31746,,69kV,Conductor,Overhead,No,,,Equipment/Facility Failure,Splice/Clamp/Connector,,,unknown,
SDG&E,10/9/2015,16:00,32.7705000,-117.1095000,Other,Urban,Less Than .25 Acres,Fire Agency,SDFD,P931883,telco,4kV,Conductor,Overhead,Yes,10/9/2015,16:26,Equipment/Facility Failure,Conductor,,,Unknown,
SDG&E,10/31/2015,13:04:00 PM,33.3391670,-117.4947500,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Pendleton,Z223694,,230V,Conductor,Overhead,No,,,Contact From Object,,Animal,Electric Facility,Outside Force,
SDG&E,12/26/2015,3:04,33.1323000,-117.0695000,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Escondido,P218563,,12kV,Conductor,Overhead,Yes,12/26/2015,3:04,Contact From Object,,Vegetation,Electric Facility,Weather,
SDG&E,1/3/2016,4:30,33.1915000,-117.3655000,Other,Urban,Less Than .25 Acres,Fire Agency,O'Side FD,Sta. 580-564,,12kV,Transformer,Padmounted,Yes,1/3/2016,4:30,Contact From Object,,Vehicle,Electric Facility,Other,
SDG&E,1/9/2016,4:30,33.0820000,-117.0910000,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Escondido FD,P319659,,12kV,Conductor,Overhead,Yes,1/9/2016,4:30,Contact From Object,,Vegetation,Electric Facility,Weather,
SDG&E,1/16/2016,14:42,32.7187640,-116.9745500,Vegetation,Urban,Less Than .25 Acres,Fire Agency,SMG/CALFIRE,P270861,,12kV,Conductor,Overhead,Yes,1/16/2016,14:42,Equipment/Facility Failure,Conductor,,,None,
SDG&E,1/31/2016,15:00,33.3217000,-117.1560000,Vegetation,Urban,Less Than .25 Acres,Fire Agency,CALFIRE,P714625,,12kV,Conductor,Overhead,Yes,1/31/2016,15:00,Equipment/Facility Failure,Conductor,,,Weather,
SDG&E,2/5/2016,9:47,33.0739000,-117.0862000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Escondido FD,P418131,,12kV,Other,Overhead,Yes,2/5/2016,9:47,Equipment/Facility Failure,Splice/Clamp/Connector,,,Unknown,
SDG&E,2/12/2016,19:30,33.2427420,-116.9664380,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,P414015,,12kV,Conductor,Overhead,Yes,2/12/2016,19:30,Vandalism/Theft,,,,Outside Force,
SDG&E,2/18/116,0:00,32.7063000,-116.3970000,Vegetation,Rural,Less Than .25 Acres,Utility,,P40825,,12kV,Conductor,Overhead,Yes,2/18/2016,6:00,Equipment/Facility Failure,Conductor,,,None,
SDG&E,3/3/2016,6:00,32.8472430,-116.9420310,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Lakeside F.D,P874898,AT&T and Cox,12kV,Conductor,Overhead,Yes,3/3/2016,6:30,Contact From Object,,Vehicle,Pole,Human Error,
SDG&E,3/11/2016,11:40,33.1563180,-117.2151540,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Vista FD,P615947,,12kV,Conductor,Overhead,Yes,3/11/2016,11:40,Equipment/Facility Failure,Conductor,,,Unknown,
SDG&E,4/6/2016,10:38,33.1865500,-117.1967470,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Vista FD,P113372,,12kV,Conductor,Overhead,Yes,4/6/2016,10:38,Contact From Object,,Vegetation,Electric Facility,Human Error,
SDG&E,4/16/2016,Unknown,33.2243310,-117.3682710,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Unknown,"Z29145 (TL 690, C198)",,12kV,Conductor,Overhead,Yes,4/16/2016,,Wind/Equipment/Facility Failure,,,,Weather,
SDG&E,6/12/2016,Unknown,33.0940000,-117.0430000,Vegetation,Urban,Less Than .25 Acres,Utility,,P712531,,12kV,Conductor,Overhead,,,,Contact from Object,,Balloons,Electric Facility,None,
SDG&E,6/14/2016,6:05,32.8801460,-116.9050980,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,P370041,AT&T,12kV,Conductor,Overhead,Yes,6/14/2016,6:05,Contact From Object,,Vehicle,Pole,Outside Force,
SDG&E,6/23/2016,15:00,32.8058000,-116.9610000,Vegetation,Urban,Less Than .25 Acres,Fire Agency,El Cajon FD,P166454,,12kV,Conductor,Overhead,Yes,6/23/2016,15:00,Contact From Object,,Animal,Electric Facility,Outside Force,
SDG&E,6/27/2016,15:30,33.2837350,-116.6174110,Vegetation,Rural,Less Than .25 Acres,Customer,,P112086,,12kV,Other,Overhead,No,,,Equipment/Facility Failure,Splice/Clamp/Connector,,,Human Error,
SDG&E,7/2/2016,7:51,32.8100000,-116.8780000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,P775960,,12kV,Capacitor Bank,Overhead,Yes,7/2/2016,7:51,Equipment/Facility Failure,Capacitor Bank,,,None,
SDG&E,7/11/2016,10:27,33.2718600,-117.1825667,Vegetation,Urban,Less Than .25 Acres,Customer,,P228931 C 520,,12kv,Conductor,Overhead,Yes,7/11/2016,10:27,Contact From Object,,Other,Electric Facility,,
SDG&E,7/11/2016,13:19,33.1146050,-116.5842710,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CALFIRE,P412648 C221,None,12kV,Lightning Arrestor,Overhead,Yes,7/11/2016,13:19,Equipment/Facility Failure,Lightning Arrestor,,,,
SDG&E,7/22/2016,Unknown,33.2014560,-116.9351990,Vegetation,Rural,Less Than .25 Acres,Utility,,P212466,,25kV,Transformer,Overhead,No,,,Equipment/Facility Failure,Other,,,Unknown,
SDG&E,7/29/2016,10:57,33.0709580,-116.7424310,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,P416995,,12kv,Conductor,Overhead,Yes,7/29/2016,,Equipment/Facility Failure,Conductor,,,,
SDG&E,7/31/2016,13:43,33.3663000,-117.2033000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Fallbrook Fire,P115869,,12kV,Conductor,Overhead,Yes,7/31/2016,13:43,Contact From Object,,Vegetation,Electric Facility,Unknown,
SDG&E,8/27/2016,12:43,33.1371290,-117.0761470,Vegetation,Rural,Less Than .25 Acres,Customer,,P315560,,12kV,Conductor,Overhead,Yes,8/27/2016,12:43,Contact From Object,,Balloons,Electric Facility,Unknown,
SDG&E,9/23/2016,11:25,32.7380370,-116.7332720,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,P101347,,12kV,Transformer,Overhead,Yes,9/23/2016,11:25,Equipment/Facility Failure,Transformer,,,None,
SDG&E,9/27/2016,unknown,33.2966580,-117.2079410,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,,,12kV,Fuse,Overhead,No,,,Contact From Object,,,,Unknown,
SDG&E,9/29/2016,,32.7417750,-116.9653340,Vegetation,Urban,Less Than .25 Acres,Fire Agency,SMG/CALFIRE,P26106,,12kV,Conductor,Overhead,No,,,Contact Between Third Party Facility on Pole and Supply Lines,,,,Outside Force,
SDG&E,9/29/2016,8:14,33.1714430,-117.3157830,Vegetation,Urban,Less Than .25 Acres,Utility,,Z524971,none,230kV,Conductor,Overhead,No,,,Unknown,,,,Unknown,
SDG&E,10/8/2016,10:53,33.3018560,-117.0974220,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Valley Center,Z811329,,230kv,Conductor,Overhead,No,,,Contact From Object,,Other,Electric Facility,Other,
SDG&E,10/21/2016,11:20,33.0485000,-116.8615000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,P114079,,12kV,Conductor,Overhead,No,,,,,,,,
SDG&E,11/2/2016,10:30,32.8372640,-116.7021580,Vegetation,Rural,Less Than .25 Acres,Utility,,P175475,,12kV,Conductor,Overhead,Yes,11/2/2016,10:30,Equipment/Facility Failure,Splice/Clamp/Connector,,,None,
SDG&E,11/12/2016,20:30,32.6258333,-116.9375000,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Chula Vista Fire,P85952,,12kV,Lightning Arrestor,Overhead,Yes,11/12/2016,18:34,Equipment/Facility Failure,Lightning Arrestor,,,,
